asset,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-02,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-26,2024-02-27,2024-02-28,2024-02-29
desk 81,0,0,0,0,0,0,72.33,80.33,0,0,67.16,0,39.83,38.33,0,56.5,0,27.66,0.33,0,73.33,13.83,17.17,0,0,67.83,0,59.16,0,8.83,0,78.5,0,37.67,25.67,0,37.83,44,76.67,0,0,0,0,78.67
Desk 19,0,0,61.5,0,0,0,25.33,38.67,0,0,0,0,2.33,0,0,0,32.17,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desk 90,0,0,52.1,54.59,0,77.17,58.38,1.37,79,72.19,78.83,15.67,0.33,0,0,0,0,31,82,0,0,77.5,36.84,1.83,41,0.67,56.34,21.67,63.95,0,0,59.84,0,59.84,66,0,80.67,0,0,0,79.17,70.51,44.84,74.17
desk 146,0,0,38.83,8.5,0,72.14,62.14,0,60.62,43.67,47.43,0,38.33,51.75,71.17,32.83,20.21,64.37,53.2,0,63.84,41.67,17.33,48.99,0,0,0,73.12,64.61,51.67,0,37.67,50.74,59.93,50.94,74.5,80.96,85.31,0,0,23.66,36.34,78.68,61.86
desk 141,0,79.5,78.67,78.34,0,0,0,78.34,84.5,0,0,80,79.67,79,78.84,78.83,79,85.67,79.17,79.17,0,0,80.34,61.83,0,0,84.5,82,77.84,0.67,0,80.84,80.83,78.5,0,58.34,80.84,32.5,86.17,78.67,81.17,0,0,0
desk 155,0,0,82.66,37.83,82.5,53.5,55.83,79.5,89,0,0,67.33,74.16,67.67,0,0,0,88.17,44.55,0,0,80.25,85.83,74.67,76.17,78.83,80.17,75.83,38.66,73.17,46.67,83.66,52.5,0,0,67,0,70.83,56.83,0,0,90.33,68.17,76
desk 158,0,81.67,73.17,78.5,63.67,88.05,79.83,82.5,77.67,80.5,25.49,86.82,63.65,23.67,50,87.44,81,82,43.17,71.17,88.88,84.01,77,79.67,68.17,83.67,85.34,86.5,79.67,74.84,83,76.17,75.17,79.34,76,78.34,0,0,0,0,86.17,0.83,0,0
2.krs Desk 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17,73.67,0,0,0,0,0,0,79.17,0,0,0,0,0,0,0,0,0,0,0,0
desk 113,0,75.34,87.94,35.5,69.17,84,76.23,0,80,0,82.17,74.17,84.68,81.34,56.17,48.67,82.84,69.5,81.67,84,79.17,82.67,81.17,87.01,0,77.74,83.01,82.17,77.5,45.17,80,80.84,78.01,85,1.33,81.17,86,82.84,71.67,0,6.17,83.17,75.34,80
desk 106,0,0,0,0,0,0,80.5,0,37.33,0,78.33,84.36,78.17,0,55.83,4.17,86,86.17,0,13.33,68.17,63.33,63.67,0,0,85.33,74.67,79.16,0,0,83,79.5,0,34.5,0,0,74.5,76.5,85.33,0,90.17,88.67,0,0
Desk 60,0,0,85,82.17,69,0,80.66,48.5,21.33,50.16,84.16,91.16,42.16,84,27.41,80.5,0.83,5,80.5,81,0,0,85.83,51.83,0,0,0.33,81.83,0,60.17,0,78.5,0,74.83,5.5,0,57.33,56,81.67,39.67,73.67,86.52,62.83,16.17
